,Gender,Organizes activities with his friends,What are your strengths among these,What activity do you do most frequently?,have difficulty understanding what you have read?,FavoriteSubject,FavoriteGame,IntelligenceType
2637,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Biology and Earth,Sports games,Kinesthetic
3470,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
1036,Female,Listen to music or plays an instrument,Has a good sense of coordination and is skilled in many sporting or physical activities,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Arts,Sports games,Musical
1639,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Artist or Architect,Arts,Sports games,Spatial
4154,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Dancer or Athlete or Build,Physical education,Sports games,Kinesthetic
1570,Female,Writes his diary or expresses his feelings in poems or only practices certain hobbies,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Dancer or Athlete or Build,Maths,Individual games,Intra Personnelle
768,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Dancer or Athlete or Build,foreign languages,Sports games,Kinesthetic
4384,Female,Gather and disassemble things,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Maths,Sports games,Logico Math̩matique
1940,Male,Gather and disassemble things,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Maths,Sports games,Logico Math̩matique
4657,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Artist or Architect,Music,Building games or maze games or drawing guess games,Spatial
4943,Male,Spend a lot of time outdoors and identifie plants and animals or insects,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Music,Puzzle games or strategy games,Logico Math̩matique
4718,Male,Organizes activities with his friends,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Physical education,Board games or card games,Inter Personnelle
4213,Male,Gather and disassemble things,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Maths,Sports games,Logico Math̩matique
4076,Male,Invent write and tell stories,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Music,Puzzle games or strategy games,Logico Math̩matique
3505,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,do sport activities regularly and continuously,Dancer or Athlete or Build,Biology and Earth,Sports games,Kinesthetic
4736,Male,Draws or scribbles drawings and looks at pictures,expresses himself with a rich vocabulary,asks a lot of questions about how things work or about the causes of a phenomenon or event,Journalist or lawyer,Biology and Earth,Building games or maze games or drawing guess games,Linguistic
995,Female,Gather and disassemble things, has the ability to easily recognize birds plants and trees,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
37,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Mathematics teacher or engineer,Maths,Building games or maze games or drawing guess games,Kinesthetic
2019,Male,Listen to music or plays an instrument,decides for himself what he think to do and tracks his personal interests alone,listens to many styles of music often and repeats the song aloud,Journalist or lawyer,Maths,Building games or maze games or drawing guess games,Musical
924,Female,Draws or scribbles drawings and looks at pictures,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Arts,Building games or maze games or drawing guess games,Spatial
4892,Female,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,foreign languages,Sports games,Kinesthetic
3253,Female,Organizes activities with his friends,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,foreign languages,Pet simulator,Inter Personnelle
